state,protocol,fold,train_domain,eval_domain,kind,tile,n_pos,n_neg,auc,ap,bfe,panel_scale,elev,hand,imperv,water
VT,shadedX,1,AE,A,OOD,37_51,222,46,0.5608108108108109,0.8731534758763999,2.7378647473443487,12000.0,282.32676696777344,2.2499923706054688,0.0,0.0
VT,shadedX,1,AE,A,OOD,37_52,405,26,0.6761633428300096,0.973712806652897,2.7378647473443487,12000.0,347.49371337890625,1.5999755859375,0.0,0.0
VT,shadedX,1,AE,AE,ID,36_48,183,37,0.8137645842563875,0.960799439088937,2.966575696441484,6000.0,174.66514587402344,2.0499954223632812,0.0,0.0011111111110828306
VT,shadedX,1,AE,AE,ID,36_50,755,113,0.7407372677723729,0.9480798016581036,1.2456999735442347,6000.0,161.92178344726562,2.5,0.0,0.0016666666665636131
VT,shadedX,1,AE,AE,ID,37_51,299,46,0.7582521448305947,0.9515135153565564,0.8394054991673486,12000.0,168.65890502929688,2.2999954223632812,0.0,0.001111111111113147
VT,shadedX,1,AE,AE,ID,37_52,117,27,0.8167141500474833,0.9528734980882119,3.35983104765846,6000.0,245.92552947998047,1.0,0.0,0.0
VT,shadedX,2,A,A,ID,36_52,402,95,0.899135899450118,0.9734952398320168,2.5917303848117714,6000.0,219.14073181152344,2.2000045776367188,0.0,0.0
VT,shadedX,2,A,A,ID,37_50,494,165,0.8475647159857685,0.9267744622434799,3.899178062337426,12000.0,223.5736083984375,3.0,0.0,0.0
VT,shadedX,2,A,AE,OOD,36_52,511,114,0.389123493665671,0.7834784411805034,0.632824558747173,6000.0,145.72628784179688,1.9000015258789062,0.0,0.0
VT,shadedX,2,A,AE,OOD,37_50,705,139,0.6404510434205827,0.8852417264257211,3.899178062337426,6000.0,170.72858428955078,1.8000106811523438,0.0,0.015555555555644692
VT,shadedX,2,AE,A,OOD,36_52,402,95,0.6270489656978266,0.864162489485307,2.5917303848117714,6000.0,219.14073181152344,2.2000045776367188,0.0,0.0
VT,shadedX,2,AE,A,OOD,37_50,494,165,0.6108207581891791,0.8260499769043445,3.899178062337426,12000.0,223.5736083984375,3.0,0.0,0.0
VT,shadedX,2,AE,AE,ID,36_52,511,114,0.8311875579359357,0.9538125115585777,0.632824558747173,6000.0,145.72628784179688,1.9000015258789062,0.0,0.0
VT,shadedX,2,AE,AE,ID,37_50,705,139,0.7575182407265677,0.9410840765126874,3.899178062337426,6000.0,170.72858428955078,1.8000106811523438,0.0,0.015555555555644692
VT,shadedX,3,A,A,ID,35_52,222,109,0.8018431275312009,0.8757552152372157,0.632824558747173,6000.0,91.26302337646484,2.5,0.0,0.0
VT,shadedX,3,A,A,ID,37_49,693,200,0.7754689754689754,0.919181029503465,2.0980755805239,12000.0,250.83900451660156,3.100006103515625,0.0,0.0
VT,shadedX,3,A,AE,OOD,35_52,950,108,0.7023976608187135,0.9545929912532107,0.632824558747173,6000.0,29.954086303710938,0.0,0.0,0.2622222222217633
VT,shadedX,3,A,AE,OOD,37_49,918,225,0.5773710965867829,0.840231787715047,2.0980755805239,6000.0,202.70147705078125,2.1999969482421875,0.0,0.0011111111110828306
VT,shadedX,3,AE,A,OOD,35_52,222,109,0.6913381271179436,0.8216026602387626,0.632824558747173,6000.0,91.26302337646484,2.5,0.0,0.0
VT,shadedX,3,AE,A,OOD,37_49,693,200,0.6096608946608947,0.8384542634523254,2.0980755805239,12000.0,250.83900451660156,3.100006103515625,0.0,0.0
VT,shadedX,3,AE,AE,ID,35_52,950,108,0.9676120857699805,0.9961541798411626,0.632824558747173,6000.0,29.954086303710938,0.0,0.0,0.2622222222217633
VT,shadedX,3,AE,AE,ID,37_49,918,225,0.7410070200919874,0.9193323731838573,2.0980755805239,6000.0,202.70147705078125,2.1999969482421875,0.0,0.0011111111110828306
CO,band,0,A,A,ID,-11_32,44,32,1.0,0.9999999999999999,0.5340172771990488,24000.0,1143.3792114257812,1.9000244140625,0.0,0.0
CO,band,0,A,A,ID,-11_33,452,173,0.9556499053660035,0.9810913915048083,0.5340172771990488,24000.0,1073.2362060546875,1.2000732421875,0.0,0.0
CO,band,0,A,A,ID,-11_34,76,51,0.9331785345717234,0.9616453791532548,0.5340172771990488,24000.0,1131.5377197265625,1.9000244140625,0.0,0.0
CO,band,0,A,A,ID,-12_32,51,53,0.972992970773215,0.946222619890972,0.5340172771990488,24000.0,1302.2138061523438,4.39996337890625,0.0,0.0
CO,band,0,A,A,ID,-14_36,473,277,0.973569122507079,0.9856771762347254,1.8972700132404465,24000.0,1775.4893798828125,2.5,0.0,0.0
CO,band,0,A,A,ID,-14_37,419,233,0.9893574523441261,0.9938521969995272,2.618682738577198,24000.0,1586.5700073242188,2.2000732421875,0.0,0.0
CO,band,0,A,A,ID,-15_32,87,56,0.9852216748768473,0.9894974579439239,0.26492988682649626,24000.0,1718.71923828125,1.9000244140625,0.0,0.0
CO,band,0,A,A,ID,-15_34,640,566,0.9829753754416961,0.9852816646406569,0.6992865332940402,24000.0,1440.8768310546875,2.5999755859375,0.0,0.0
CO,band,0,A,A,ID,-15_37,414,414,0.991149151672151,0.9922432703051604,2.618682738577198,24000.0,1760.1397705078125,3.7999267578125,0.0,0.0
CO,band,0,A,A,ID,-15_38,568,282,0.9608243432224554,0.9795435915473827,0.4985742665666153,24000.0,1515.9168090820312,1.800048828125,0.0,0.0
CO,band,0,A,A,ID,-16_34,522,435,0.9836526181353767,0.9873855461095693,0.6992865332940402,12000.0,1588.959228515625,3.9000244140625,0.0,0.0
CO,band,0,A,A,ID,-16_36,84,311,0.9867554738937376,0.9402447160500941,1.8972700132404465,12000.0,2277.498779296875,26.699951171875,0.0,0.0
CO,band,0,A,A,ID,-18_37,100,211,0.9929383886255924,0.981612560003227,1.4738408079160736,6000.0,3178.7783203125,46.0,0.0,0.0
CO,band,0,A,A,ID,-19_37,72,216,0.9992283950617284,0.9977278548159909,2.742322162871958,24000.0,2695.97021484375,59.949951171875,0.0,0.0
CO,band,0,A,A,ID,-20_32,111,292,0.9954646427249167,0.9583446097842514,0.8200771853291582,12000.0,2185.366943359375,33.60009765625,0.0,0.0
CO,band,0,A,A,ID,-20_36,52,118,0.9990221642764016,0.9977125378174045,2.0466789510249295,24000.0,2189.2479248046875,26.95001220703125,0.0,0.0
CO,band,0,A,A,ID,-20_38,49,84,0.9995140913508261,0.9991753436068306,0.019068590551404925,12000.0,2286.1455078125,31.0,0.0,0.0
CO,band,0,A,A,ID,-22_38,87,99,0.9936143039591315,0.9902794878178481,0.019068590551404925,24000.0,2054.0467529296875,12.199951171875,0.0,0.0
CO,band,0,A,AE,OOD,-11_33,336,40,0.9711309523809524,0.9947230931000961,0.5340172771990488,6000.0,1055.7991943359375,1.0,0.0,0.0
CO,band,0,A,AE,OOD,-14_36,41,66,0.9645232815964524,0.9284373696160172,2.524434589778718,24000.0,1636.90576171875,3.5,0.0,0.0
CO,band,0,A,AE,OOD,-15_32,56,75,0.9971428571428571,0.9962618455142157,0.26492988682649626,6000.0,1840.29638671875,10.699951171875,0.0,0.0
CO,band,0,A,AE,OOD,-15_34,558,647,0.9880368726906096,0.9897403370767662,0.6992865332940402,12000.0,1456.6781005859375,3.5,0.0,0.0
CO,band,0,A,AE,OOD,-15_37,689,934,0.9821126108346827,0.9720929714511981,2.618682738577198,6000.0,1701.407958984375,4.5999755859375,0.0,0.0
CO,band,0,A,AE,OOD,-15_38,1082,738,0.9763548883178296,0.9800635070711226,0.4985742665666153,12000.0,1517.2415771484375,2.0999755859375,0.0,0.0
CO,band,0,A,AE,OOD,-16_34,244,215,0.9971025543271064,0.9975778856702551,1.488841657636012,6000.0,1573.372314453125,4.2999267578125,0.0,0.0
CO,band,0,A,AE,OOD,-16_36,99,305,0.9926809074350058,0.9654441296958158,4.464403047586651,6000.0,2173.3074951171875,26.45001220703125,0.0,0.0
CO,band,0,A,AE,OOD,-18_37,54,224,0.9971064814814815,0.9883909375800239,3.8036216647881775,6000.0,2857.321044921875,59.699951171875,0.0,0.0
CO,band,0,A,AE,OOD,-19_37,77,277,0.9975620047822213,0.989861847022172,2.742322162871958,6000.0,2349.3148193359375,54.10009765625,0.0,0.0
CO,band,0,A,AE,OOD,-19_38,93,144,1.0,1.0,3.8036216647881775,6000.0,2118.9111328125,21.199951171875,0.0,0.0
